,internal_id,h3_index,latitude,longitude,name,tags,categories,place_id,address,timezone,temporarily_closed,permanently_closed,inside_of,price_level,contact_phone,contact_website,number_of_reviews,rating_stars,spending_time_min,spending_time_max,has_popularity,has_opening_hours,has_waiting_time
399,0x130e502269935033:0x7bb1bfa3734b7c4,8f3f304e1d80a35,35.8951057,14.4491089,San Anton Gardens,{parktourist_attraction},{tourismrecreation},ChIJM1CTaSJQDhMRxLc0N_obuwc,{7 St. George'sVallettaMalta},Europe/Malta,False,False,,,35623053153.0,https://www.visitmalta.com/en/a/info/sanantongardens/,4455.0,4.6,60.0,60.0,True,True,True
400,0x130e5018907aada1:0x6133f32ae2659ab0,8f3f304e1daa955,35.8956417,14.449812300000001,Mezzanin,{wine_bar},{drinks},ChIJoa16kBhQDhMRsJpl4irzM2E,{VCWX+7W3BalzanMalta},Europe/Malta,False,True,,,35621470663.0,,24.0,4.1,,,False,True,False
401,0x130e5068ef89c37d:0x4ecf6f8b5b316664,8f3f304e30740d3,35.872569299999995,14.4523006,Kung Fu Chinese Take Away,{restaurant},{food},ChIJfcOJ72hQDhMRZGYxW4tvz04,{Triq Luret CutajarHaz-ZebbugMalta},Europe/Malta,False,False,,,35699555698.0,https://www.facebook.com/kungfuchineseTA/,114.0,4.2,15.0,15.0,True,True,True
402,0x130e50427b17b1ab:0x3c312af02cd94d05,8f3f304e310e71d,35.8740322,14.4486754,Oz Sofra Kebab Restaurant,{turkish_restaurant},{food},ChIJq7EXe0JQDhMRBU3ZLPAqMTw,{Triq L-ImdinaHaz-ZebbugMalta},Europe/Malta,False,False,,1.0,35621464208.0,http://www.ozsofra.com.mt/,696.0,4.4,10.0,45.0,True,True,True
403,0x130e506931b0412b:0xed3eb8ceebd23fed,8f3f304e3a904b5,35.8738322,14.454652599999998,Ten Green Bottles,{wine_storecigar_shoptobacco_shop},{shopping},ChIJK0GwMWlQDhMR7T_S6864Pu0,{Triq L-ImdinaHaz-ZebbugMalta},Europe/Malta,False,False,,,35621467111.0,https://www.captcaruana.com/,140.0,4.8,15.0,15.0,True,True,True
404,0x130e506e9526685d:0x265b1f88d7110307,8f3f304e3a9dc8e,35.874057,14.456422,Pet Studio,{pet_supply_storeaquarium_shopbird_shopgarden_centerpet_storereptile_store},{shoppingwholesaler},ChIJXWgmlW5QDhMRBwMR14gfWyY,{Triq L-ImdinaHaz-ZebbugMalta},Europe/Malta,False,False,,,35627890035.0,http://www.petstudiomalta.com/,257.0,4.8,20.0,20.0,True,True,True
405,0x130e5045801c122f:0xf17ee890c5be914f,8f3f304e3c34d52,35.875043299999994,14.437458900000001,Stefan's Bakery,{bakery},{cafe},ChIJLxIcgEVQDhMRT5G-xZDofvE,{Haz32A Misrah MuxiHaz-Zebbug ZBG 1421Malta},Europe/Malta,False,False,,1.0,35699403755.0,,38.0,4.8,10.0,10.0,False,True,False
406,0x130e50430621a76d:0x99f3b2660c46b811,8f3f304e3c4b806,35.8737899,14.445357999999999,Ta' Conti,{bakery},{cafe},ChIJbachBkNQDhMREbhGDGay85k,{Triq San RokkuĦaż-ŻebbuġMalta},Europe/Malta,False,False,,1.0,,,2.0,4.0,,,False,True,False
407,0x130e505b331bb669:0xc9cd18ae3ddfbd78,8f3f304e3cc4195,35.871772,14.441249,Għaqda Każin Banda San Filep,{music_schoolbar},{drinkseducation},ChIJabYbM1tQDhMReL3fPa4Yzck,{St. Philip's Band Club12 Misraħ San FilepHaz-ZebbugMalta},Europe/Malta,False,False,,,35627444234.0,https://www.bandasanfilep.com.mt/,23.0,4.7,,,False,False,False
408,0x130e50452b0b1831:0x3679c6a5a54edfad,8f3f304e3cf4a90,35.872184000000004,14.439948000000001,BB De Rohan,{bed_and_breakfast},{tourism},ChIJMRgLK0VQDhMRrd9OpaXGeTY,{NRU.11 Ħaż-ŻebbuġĦaż-Żebbuġ ZBG 1361Malta},Europe/Malta,False,False,,,35679882571.0,http://www.bbderohanmalta.com/,115.0,4.8,,,False,False,False
